Standard,Subject,Grade,Strand,Standard Number,Description,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.2.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.2.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.2.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.3.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.3.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.3.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.3.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.3.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.3.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.3.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.3.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.3.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.3.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.3.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.3.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.3.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.3.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.3.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.3.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.3.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.3.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.3.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.3.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.3.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.3.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.3.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.3.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.4.1,Read grade-level text with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.4.1,Read grade-level text with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.4.1,Read grade-level text with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.4.1,Read grade-level text with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.4.2,"Read grade-level prose and poetry orally with accuracy, appropriate rate, expression, intonation, and phrasing on successive readings.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.4.2,"Read grade-level prose and poetry orally with accuracy, appropriate rate, expression, intonation, and phrasing on successive readings.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.4.2,"Read grade-level prose and poetry orally with accuracy, appropriate rate, expression, intonation, and phrasing on successive readings.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.4.2,"Read grade-level prose and poetry orally with accuracy, appropriate rate, expression, intonation, and phrasing on successive readings.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.4.3,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.4.3,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.4.3,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.4.3,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.5.1,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text including determining where the text leaves matters uncertain; investigate multiple supported academic interpretations.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.5.1,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text including determining where the text leaves matters uncertain; investigate multiple supported academic interpretations.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.5.1,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text including determining where the text leaves matters uncertain; investigate multiple supported academic interpretations.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.5.1,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text including determining where the text leaves matters uncertain; investigate multiple supported academic interpretations.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.5.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.5.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.5.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.5.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.6.1,Analyze the development of related themes across a variety of texts citing evidence to support analysis; provide an objective summary.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.6.1,Analyze the development of related themes across a variety of texts citing evidence to support analysis; provide an objective summary.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.6.1,Analyze the development of related themes across a variety of texts citing evidence to support analysis; provide an objective summary.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.6.1,Analyze the development of related themes across a variety of texts citing evidence to support analysis; provide an objective summary.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.7.1,"Analyze the development of theme across diverse media, modality, and format.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.7.1,"Analyze the development of theme across diverse media, modality, and format.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.7.1,"Analyze the development of theme across diverse media, modality, and format.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.7.1,"Analyze the development of theme across diverse media, modality, and format.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.7.2,Analyze how literary texts and related media allude to themes and archetypes from historical and cultural traditions.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.7.2,Analyze how literary texts and related media allude to themes and archetypes from historical and cultural traditions.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.7.2,Analyze how literary texts and related media allude to themes and archetypes from historical and cultural traditions.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.7.2,Analyze how literary texts and related media allude to themes and archetypes from historical and cultural traditions.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.8.1,"Analyze a complex set of ideas or sequence of events and explain how specific characters, ideas, or events develop and interact within a particular context.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.8.1,"Analyze a complex set of ideas or sequence of events and explain how specific characters, ideas, or events develop and interact within a particular context.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.8.1,"Analyze a complex set of ideas or sequence of events and explain how specific characters, ideas, or events develop and interact within a particular context.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.8.1,"Analyze a complex set of ideas or sequence of events and explain how specific characters, ideas, or events develop and interact within a particular context.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.9.1,"Evaluate the impact of the author's use of diction, conventions, figurative language, and/or language that is particularly fresh, engaging, or beautiful on meaning and tone.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.9.1,"Evaluate the impact of the author's use of diction, conventions, figurative language, and/or language that is particularly fresh, engaging, or beautiful on meaning and tone.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.9.1,"Evaluate the impact of the author's use of diction, conventions, figurative language, and/or language that is particularly fresh, engaging, or beautiful on meaning and tone.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.9.1,"Evaluate the impact of the author's use of diction, conventions, figurative language, and/or language that is particularly fresh, engaging, or beautiful on meaning and tone.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.9.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.9.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.9.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.9.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.10.1,Use context clues to determine meanings of words and phrases.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.10.1,Use context clues to determine meanings of words and phrases.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.10.1,Use context clues to determine meanings of words and phrases.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.10.1,Use context clues to determine meanings of words and phrases.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.10.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.10.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.10.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.10.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.10.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.10.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.10.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.10.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.10.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.10.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.10.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.10.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.10.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.10.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.10.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.10.5,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.10.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.10.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.10.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.10.6,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.11.1,"Analyze how point of view and author's perspective and purpose shape content, meaning, and style; supports rhetorical or aesthetic purposes; and conveys cultural experience.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.11.1,"Analyze how point of view and author's perspective and purpose shape content, meaning, and style; supports rhetorical or aesthetic purposes; and conveys cultural experience.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.11.1,"Analyze how point of view and author's perspective and purpose shape content, meaning, and style; supports rhetorical or aesthetic purposes; and conveys cultural experience.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.11.1,"Analyze how point of view and author's perspective and purpose shape content, meaning, and style; supports rhetorical or aesthetic purposes; and conveys cultural experience.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.11.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.11.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.11.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.11.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.12.1,"Evaluate various texts to formulate a theory regarding the authors' use of structure, plot, and manipulation of time citing support from the texts.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.12.1,"Evaluate various texts to formulate a theory regarding the authors' use of structure, plot, and manipulation of time citing support from the texts.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.12.1,"Evaluate various texts to formulate a theory regarding the authors' use of structure, plot, and manipulation of time citing support from the texts.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.12.1,"Evaluate various texts to formulate a theory regarding the authors' use of structure, plot, and manipulation of time citing support from the texts.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.12.2,"Critique how an author's choices concerning how to structure texts, order events within the text, and manipulate time create different effects.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.12.2,"Critique how an author's choices concerning how to structure texts, order events within the text, and manipulate time create different effects.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.12.2,"Critique how an author's choices concerning how to structure texts, order events within the text, and manipulate time create different effects.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.12.2,"Critique how an author's choices concerning how to structure texts, order events within the text, and manipulate time create different effects.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.13.1,Engage in whole and small group reading with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.13.1,Engage in whole and small group reading with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.13.1,Engage in whole and small group reading with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.13.1,Engage in whole and small group reading with purpose and understanding.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.13.2,Read independently for sustained periods of time to build stamina.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Literary Text,E4.RL.9-12.13.3,"Read and respond to grade level text as self-directed, critical readers and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Literary Text,E4.RL.9-12.13.3,"Read and respond to grade level text as self-directed, critical readers and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Literary Text,E4.RL.9-12.13.3,"Read and respond to grade level text as self-directed, critical readers and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Literary Text,E4.RL.9-12.13.3,"Read and respond to grade level text as self-directed, critical readers and thinkers.",,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.1.4,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.2.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-4:Reading: Informational Text,E4.RI.9-12.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-4:Reading: Informational Text,E4.RI.9-12.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-4:Reading: Informational Text,E4.RI.9-12.2.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-4:Reading: Informational Text,E4.RI.9-12.2.2,Students are expected to build upon and continue applying previous learning.,,
