Standard,Subject,Grade,Strand,Standard Number,Description,,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.B.7,Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent.,,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.B.8,"Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions.",,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.B.8,"Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions.",,,,
Iowa Core Standards: Math,Math,11,Congruence,HSG.CO.B.8,"Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions.",,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.B.8,"Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions.",,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.C,Prove geometric theorems,,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.C,Prove geometric theorems,,,,
Iowa Core Standards: Math,Math,11,Congruence,HSG.CO.C,Prove geometric theorems,,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.C,Prove geometric theorems,,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.C.9,Prove theorems about lines and angles.,,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.C.9,Prove theorems about lines and angles.,,,,
Iowa Core Standards: Math,Math,11,Congruence,HSG.CO.C.9,Prove theorems about lines and angles.,,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.C.9,Prove theorems about lines and angles.,,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.C.10,Prove theorems about triangles.,,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.C.10,Prove theorems about triangles.,,,,
Iowa Core Standards: Math,Math,11,Congruence,HSG.CO.C.10,Prove theorems about triangles.,,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.C.10,Prove theorems about triangles.,,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.C.11,Prove theorems about parallelograms.,,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.C.11,Prove theorems about parallelograms.,,,,
Iowa Core Standards: Math,Math,11,Congruence,HSG.CO.C.11,Prove theorems about parallelograms.,,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.C.11,Prove theorems about parallelograms.,,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.D,Make geometric constructions,,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.D,Make geometric constructions,,,,
Iowa Core Standards: Math,Math,11,Congruence,HSG.CO.D,Make geometric constructions,,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.D,Make geometric constructions,,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.D.12,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.",,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.D.12,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.",,,,
Iowa Core Standards: Math,Math,11,Congruence,HSG.CO.D.12,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.",,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.D.12,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line.",,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.D.13,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.",,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.D.13,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.",,,,
Iowa Core Standards: Math,Math,11,Congruence,HSG.CO.D.13,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.",,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.D.13,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.",,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A,Understand similarity in terms of similarity transformations,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A,Understand similarity in terms of similarity transformations,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A,Understand similarity in terms of similarity transformations,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A,Understand similarity in terms of similarity transformations,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1,Verify experimentally the properties of dilations given by a center and a scale factor:,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1,Verify experimentally the properties of dilations given by a center and a scale factor:,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1,Verify experimentally the properties of dilations given by a center and a scale factor:,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1,Verify experimentally the properties of dilations given by a center and a scale factor:,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1a,"A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged.",,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1a,"A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged.",,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1a,"A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged.",,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1a,"A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged.",,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1b,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1b,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1b,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.1b,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.2,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides.",,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.2,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides.",,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.2,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides.",,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.2,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides.",,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.3,Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.3,Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.3,Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.A.3,Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B,Prove theorems involving similarity,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B,Prove theorems involving similarity,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B,Prove theorems involving similarity,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B,Prove theorems involving similarity,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B.4,Prove theorems about triangles.,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B.4,Prove theorems about triangles.,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B.4,Prove theorems about triangles.,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B.4,Prove theorems about triangles.,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B.5,Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B.5,Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B.5,Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.B.5,Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C,Define trigonometric ratios and solve problems involving right triangles,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C,Define trigonometric ratios and solve problems involving right triangles,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C,Define trigonometric ratios and solve problems involving right triangles,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C,Define trigonometric ratios and solve problems involving right triangles,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.6,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.",,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.6,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.",,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.6,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.",,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.6,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.",,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.7,Explain and use the relationship between the sine and cosine of complementary angles.,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.7,Explain and use the relationship between the sine and cosine of complementary angles.,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.7,Explain and use the relationship between the sine and cosine of complementary angles.,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.7,Explain and use the relationship between the sine and cosine of complementary angles.,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.8,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.8,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.8,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.C.8,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D,Apply trigonometry to general triangles,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D,Apply trigonometry to general triangles,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D,Apply trigonometry to general triangles,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D,Apply trigonometry to general triangles,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.9,(+) Derive the formula A = 1/2 ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.9,(+) Derive the formula A = 1/2 ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.9,(+) Derive the formula A = 1/2 ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.9,(+) Derive the formula A = 1/2 ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.10,(+) Prove the Laws of Sines and Cosines and use them to solve problems.,,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.10,(+) Prove the Laws of Sines and Cosines and use them to solve problems.,,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.10,(+) Prove the Laws of Sines and Cosines and use them to solve problems.,,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.10,(+) Prove the Laws of Sines and Cosines and use them to solve problems.,,,,
Iowa Core Standards: Math,Math,9,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.11,"(+) Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles (e.g., surveying problems, resultant forces).",,,,
Iowa Core Standards: Math,Math,10,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.11,"(+) Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles (e.g., surveying problems, resultant forces).",,,,
Iowa Core Standards: Math,Math,11,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.11,"(+) Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles (e.g., surveying problems, resultant forces).",,,,
Iowa Core Standards: Math,Math,12,"Similarity, Right Triangles, & Trigonometry",HSG.SRT.D.11,"(+) Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles (e.g., surveying problems, resultant forces).",,,,
Iowa Core Standards: Math,Math,9,Circles,HSG.C.A,Understand and apply theorems about circles,,,,
Iowa Core Standards: Math,Math,10,Circles,HSG.C.A,Understand and apply theorems about circles,,,,
Iowa Core Standards: Math,Math,11,Circles,HSG.C.A,Understand and apply theorems about circles,,,,
Iowa Core Standards: Math,Math,12,Circles,HSG.C.A,Understand and apply theorems about circles,,,,
Iowa Core Standards: Math,Math,9,Circles,HSG.C.A.1,Prove that all circles are similar.,,,,
Iowa Core Standards: Math,Math,10,Circles,HSG.C.A.1,Prove that all circles are similar.,,,,
Iowa Core Standards: Math,Math,11,Circles,HSG.C.A.1,Prove that all circles are similar.,,,,
Iowa Core Standards: Math,Math,12,Circles,HSG.C.A.1,Prove that all circles are similar.,,,,
Iowa Core Standards: Math,Math,9,Circles,HSG.C.A.2,"Identify and describe relationships among inscribed angles, radii, and chords.",,,,
Iowa Core Standards: Math,Math,10,Circles,HSG.C.A.2,"Identify and describe relationships among inscribed angles, radii, and chords.",,,,
Iowa Core Standards: Math,Math,11,Circles,HSG.C.A.2,"Identify and describe relationships among inscribed angles, radii, and chords.",,,,
Iowa Core Standards: Math,Math,12,Circles,HSG.C.A.2,"Identify and describe relationships among inscribed angles, radii, and chords.",,,,
Iowa Core Standards: Math,Math,9,Circles,HSG.C.A.3,"Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral inscribed in a circle.",,,,
Iowa Core Standards: Math,Math,10,Circles,HSG.C.A.3,"Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral inscribed in a circle.",,,,
Iowa Core Standards: Math,Math,11,Circles,HSG.C.A.3,"Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral inscribed in a circle.",,,,
Iowa Core Standards: Math,Math,12,Circles,HSG.C.A.3,"Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral inscribed in a circle.",,,,
Iowa Core Standards: Math,Math,9,Circles,HSG.C.A.4,(+) Construct a tangent line from a point outside a given circle to the circle.,,,,
Iowa Core Standards: Math,Math,10,Circles,HSG.C.A.4,(+) Construct a tangent line from a point outside a given circle to the circle.,,,,
Iowa Core Standards: Math,Math,11,Circles,HSG.C.A.4,(+) Construct a tangent line from a point outside a given circle to the circle.,,,,
Iowa Core Standards: Math,Math,12,Circles,HSG.C.A.4,(+) Construct a tangent line from a point outside a given circle to the circle.,,,,
Iowa Core Standards: Math,Math,9,Circles,HSG.C.B,Find arc lengths and areas of sectors of circles,,,,
Iowa Core Standards: Math,Math,10,Circles,HSG.C.B,Find arc lengths and areas of sectors of circles,,,,
Iowa Core Standards: Math,Math,11,Circles,HSG.C.B,Find arc lengths and areas of sectors of circles,,,,
Iowa Core Standards: Math,Math,12,Circles,HSG.C.B,Find arc lengths and areas of sectors of circles,,,,
Iowa Core Standards: Math,Math,9,Circles,HSG.C.B.5,"Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector.",,,,
Iowa Core Standards: Math,Math,10,Circles,HSG.C.B.5,"Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector.",,,,
Iowa Core Standards: Math,Math,11,Circles,HSG.C.B.5,"Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector.",,,,
Iowa Core Standards: Math,Math,12,Circles,HSG.C.B.5,"Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector.",,,,
Iowa Core Standards: Math,Math,9,Expressing Geometric Properties with Equations,HSG.GPE.A,Translate between the geometric description and the equation for a conic section,,,,
Iowa Core Standards: Math,Math,10,Expressing Geometric Properties with Equations,HSG.GPE.A,Translate between the geometric description and the equation for a conic section,,,,
Iowa Core Standards: Math,Math,11,Expressing Geometric Properties with Equations,HSG.GPE.A,Translate between the geometric description and the equation for a conic section,,,,
Iowa Core Standards: Math,Math,12,Expressing Geometric Properties with Equations,HSG.GPE.A,Translate between the geometric description and the equation for a conic section,,,,
Iowa Core Standards: Math,Math,9,Expressing Geometric Properties with Equations,HSG.GPE.A.1,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.,,,,
Iowa Core Standards: Math,Math,10,Expressing Geometric Properties with Equations,HSG.GPE.A.1,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.,,,,
Iowa Core Standards: Math,Math,11,Expressing Geometric Properties with Equations,HSG.GPE.A.1,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.,,,,
Iowa Core Standards: Math,Math,12,Expressing Geometric Properties with Equations,HSG.GPE.A.1,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.,,,,
Iowa Core Standards: Math,Math,9,Expressing Geometric Properties with Equations,HSG.GPE.A.2,Derive the equation of a parabola given a focus and directrix.,,,,
Iowa Core Standards: Math,Math,10,Expressing Geometric Properties with Equations,HSG.GPE.A.2,Derive the equation of a parabola given a focus and directrix.,,,,
Iowa Core Standards: Math,Math,11,Expressing Geometric Properties with Equations,HSG.GPE.A.2,Derive the equation of a parabola given a focus and directrix.,,,,
Iowa Core Standards: Math,Math,12,Expressing Geometric Properties with Equations,HSG.GPE.A.2,Derive the equation of a parabola given a focus and directrix.,,,,
Iowa Core Standards: Math,Math,9,Expressing Geometric Properties with Equations,HSG.GPE.A.3,"(+) Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant.",,,,
Iowa Core Standards: Math,Math,10,Expressing Geometric Properties with Equations,HSG.GPE.A.3,"(+) Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant.",,,,
Iowa Core Standards: Math,Math,11,Expressing Geometric Properties with Equations,HSG.GPE.A.3,"(+) Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant.",,,,
Iowa Core Standards: Math,Math,12,Expressing Geometric Properties with Equations,HSG.GPE.A.3,"(+) Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant.",,,,
Iowa Core Standards: Math,Math,9,Expressing Geometric Properties with Equations,HSG.GPE.B,Use coordinates to prove simple geometric theorems algebraically,,,,
Iowa Core Standards: Math,Math,10,Expressing Geometric Properties with Equations,HSG.GPE.B,Use coordinates to prove simple geometric theorems algebraically,,,,
Iowa Core Standards: Math,Math,11,Expressing Geometric Properties with Equations,HSG.GPE.B,Use coordinates to prove simple geometric theorems algebraically,,,,
Iowa Core Standards: Math,Math,12,Expressing Geometric Properties with Equations,HSG.GPE.B,Use coordinates to prove simple geometric theorems algebraically,,,,
Iowa Core Standards: Math,Math,9,Expressing Geometric Properties with Equations,HSG.GPE.B.4,Use coordinates to prove simple geometric theorems algebraically.,,,,
Iowa Core Standards: Math,Math,10,Expressing Geometric Properties with Equations,HSG.GPE.B.4,Use coordinates to prove simple geometric theorems algebraically.,,,,
Iowa Core Standards: Math,Math,11,Expressing Geometric Properties with Equations,HSG.GPE.B.4,Use coordinates to prove simple geometric theorems algebraically.,,,,
Iowa Core Standards: Math,Math,12,Expressing Geometric Properties with Equations,HSG.GPE.B.4,Use coordinates to prove simple geometric theorems algebraically.,,,,
Iowa Core Standards: Math,Math,9,Expressing Geometric Properties with Equations,HSG.GPE.B.5,"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point).",,,,
Iowa Core Standards: Math,Math,10,Expressing Geometric Properties with Equations,HSG.GPE.B.5,"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point).",,,,
Iowa Core Standards: Math,Math,11,Expressing Geometric Properties with Equations,HSG.GPE.B.5,"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point).",,,,
Iowa Core Standards: Math,Math,12,Expressing Geometric Properties with Equations,HSG.GPE.B.5,"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point).",,,,
Iowa Core Standards: Math,Math,9,Expressing Geometric Properties with Equations,HSG.GPE.B.6,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.,,,,
Iowa Core Standards: Math,Math,10,Expressing Geometric Properties with Equations,HSG.GPE.B.6,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.,,,,
Iowa Core Standards: Math,Math,11,Expressing Geometric Properties with Equations,HSG.GPE.B.6,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.,,,,
Iowa Core Standards: Math,Math,12,Expressing Geometric Properties with Equations,HSG.GPE.B.6,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.,,,,
Iowa Core Standards: Math,Math,9,Expressing Geometric Properties with Equations,HSG.GPE.B.7,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.",,,,
Iowa Core Standards: Math,Math,10,Expressing Geometric Properties with Equations,HSG.GPE.B.7,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.",,,,
Iowa Core Standards: Math,Math,11,Expressing Geometric Properties with Equations,HSG.GPE.B.7,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.",,,,
Iowa Core Standards: Math,Math,12,Expressing Geometric Properties with Equations,HSG.GPE.B.7,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.",,,,
Iowa Core Standards: Math,Math,9,Geometric Measurement & Dimension,HSG.GMD.A,Explain volume formulas and use them to solve problems,,,,
Iowa Core Standards: Math,Math,10,Geometric Measurement & Dimension,HSG.GMD.A,Explain volume formulas and use them to solve problems,,,,
Iowa Core Standards: Math,Math,11,Geometric Measurement & Dimension,HSG.GMD.A,Explain volume formulas and use them to solve problems,,,,
Iowa Core Standards: Math,Math,12,Geometric Measurement & Dimension,HSG.GMD.A,Explain volume formulas and use them to solve problems,,,,
Iowa Core Standards: Math,Math,9,Geometric Measurement & Dimension,HSG.GMD.A.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone.",,,,
Iowa Core Standards: Math,Math,10,Geometric Measurement & Dimension,HSG.GMD.A.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone.",,,,
