Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Congruence,G.CO.13,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Congruence,G.CO.13,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Congruence,G.CO.13,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Congruence,G.CO.13,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Congruence,G.CO.14,Classify two-dimensional figures in a hierarchy based on properties.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Congruence,G.CO.14,Classify two-dimensional figures in a hierarchy based on properties.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Congruence,G.CO.14,Classify two-dimensional figures in a hierarchy based on properties.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Congruence,G.CO.14,Classify two-dimensional figures in a hierarchy based on properties.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.1,Verify experimentally the properties of dilations given by a center and a scale factor:,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.1,Verify experimentally the properties of dilations given by a center and a scale factor:,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.1,Verify experimentally the properties of dilations given by a center and a scale factor:,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.1,Verify experimentally the properties of dilations given by a center and a scale factor:,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.1.a,A dilation takes a line not passing through the center of the dilation to a parallel line and leaves a line passing through the center unchanged.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.1.a,A dilation takes a line not passing through the center of the dilation to a parallel line and leaves a line passing through the center unchanged.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.1.a,A dilation takes a line not passing through the center of the dilation to a parallel line and leaves a line passing through the center unchanged.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.1.a,A dilation takes a line not passing through the center of the dilation to a parallel line and leaves a line passing through the center unchanged.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.1.b,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.1.b,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.1.b,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.1.b,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.2,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.2,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.2,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.2,"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.3,Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.3,Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.3,Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.3,Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.4,Prove and apply theorems about triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.4,Prove and apply theorems about triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.4,Prove and apply theorems about triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.4,Prove and apply theorems about triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.5,Use congruence and similarity criteria for triangles to solve problems and to justify relationships in geometric figures that can be decomposed into triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.5,Use congruence and similarity criteria for triangles to solve problems and to justify relationships in geometric figures that can be decomposed into triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.5,Use congruence and similarity criteria for triangles to solve problems and to justify relationships in geometric figures that can be decomposed into triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.5,Use congruence and similarity criteria for triangles to solve problems and to justify relationships in geometric figures that can be decomposed into triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.6,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.6,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.6,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.6,"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.7,Explain and use the relationship between the sine and cosine of complementary angles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.7,Explain and use the relationship between the sine and cosine of complementary angles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.7,Explain and use the relationship between the sine and cosine of complementary angles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.7,Explain and use the relationship between the sine and cosine of complementary angles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.8,Solve problems involving right triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.8,Solve problems involving right triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.8,Solve problems involving right triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.8,Solve problems involving right triangles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",G.SRT.8.a,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems if one of the two acute angles and a side length is given.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",G.SRT.8.a,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems if one of the two acute angles and a side length is given.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",G.SRT.8.a,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems if one of the two acute angles and a side length is given.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",G.SRT.8.a,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems if one of the two acute angles and a side length is given.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.8.b,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.8.b,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.8.b,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.8.b,Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,None,(+)G.SRT.9,Derive the formula A = ½ ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.9,Derive the formula A = ½ ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.9,Derive the formula A = ½ ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.9,Derive the formula A = ½ ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.10,Explain proofs of the Laws of Sines and Cosines and use the Laws to solve problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,None,(+)G.SRT.10,Explain proofs of the Laws of Sines and Cosines and use the Laws to solve problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.10,Explain proofs of the Laws of Sines and Cosines and use the Laws to solve problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.10,Explain proofs of the Laws of Sines and Cosines and use the Laws to solve problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.11,"Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles, e.g., surveying problems, resultant forces.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.11,"Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles, e.g., surveying problems, resultant forces.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,None,(+)G.SRT.11,"Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles, e.g., surveying problems, resultant forces.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,"Similarity, Right Triangles, & Trigonometry",(+)G.SRT.11,"Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles, e.g., surveying problems, resultant forces.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Circles,G.C.1,Prove that all circles are similar using transformational arguments.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Circles,G.C.1,Prove that all circles are similar using transformational arguments.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Circles,G.C.1,Prove that all circles are similar using transformational arguments.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Circles,G.C.1,Prove that all circles are similar using transformational arguments.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Circles,G.C.2,"Identify and describe relationships among angles, radii, chords, tangents, and arcs and use them to solve problems. Include the relationship between central, inscribed, and circumscribed angles and their intercepted arcs; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Circles,G.C.2,"Identify and describe relationships among angles, radii, chords, tangents, and arcs and use them to solve problems. Include the relationship between central, inscribed, and circumscribed angles and their intercepted arcs; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Circles,G.C.2,"Identify and describe relationships among angles, radii, chords, tangents, and arcs and use them to solve problems. Include the relationship between central, inscribed, and circumscribed angles and their intercepted arcs; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Circles,G.C.2,"Identify and describe relationships among angles, radii, chords, tangents, and arcs and use them to solve problems. Include the relationship between central, inscribed, and circumscribed angles and their intercepted arcs; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Circles,G.C.3,Construct the inscribed and circumscribed circles of a triangle; prove and apply the property that opposite angles are supplementary for a quadrilateral inscribed in a circle.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Circles,G.C.3,Construct the inscribed and circumscribed circles of a triangle; prove and apply the property that opposite angles are supplementary for a quadrilateral inscribed in a circle.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Circles,G.C.3,Construct the inscribed and circumscribed circles of a triangle; prove and apply the property that opposite angles are supplementary for a quadrilateral inscribed in a circle.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Circles,G.C.3,Construct the inscribed and circumscribed circles of a triangle; prove and apply the property that opposite angles are supplementary for a quadrilateral inscribed in a circle.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Circles,(+)G.C.4,Construct a tangent line from a point outside a given circle to the circle.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Circles,(+)G.C.4,Construct a tangent line from a point outside a given circle to the circle.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Circles,(+)G.C.4,Construct a tangent line from a point outside a given circle to the circle.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Circles,(+)G.C.4,Construct a tangent line from a point outside a given circle to the circle.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Circles,G.C.5,Find arc lengths and areas of sectors of circles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Circles,G.C.5,Find arc lengths and areas of sectors of circles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Circles,G.C.5,Find arc lengths and areas of sectors of circles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Circles,G.C.5,Find arc lengths and areas of sectors of circles.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Circles,G.C.5.a,Apply similarity to relate the length of an arc intercepted by a central angle to the radius. Use the relationship to solve problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Circles,G.C.5.a,Apply similarity to relate the length of an arc intercepted by a central angle to the radius. Use the relationship to solve problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Circles,G.C.5.a,Apply similarity to relate the length of an arc intercepted by a central angle to the radius. Use the relationship to solve problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Circles,G.C.5.a,Apply similarity to relate the length of an arc intercepted by a central angle to the radius. Use the relationship to solve problems.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Circles,G.C.5.b,"Derive the formula for the area of a sector, and use it to solve problems.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Circles,G.C.5.b,"Derive the formula for the area of a sector, and use it to solve problems.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Circles,G.C.5.b,"Derive the formula for the area of a sector, and use it to solve problems.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Circles,G.C.5.b,"Derive the formula for the area of a sector, and use it to solve problems.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Circles,G.C.6,"Derive formulas that relate degrees and radians, and convert between the two.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Circles,G.C.6,"Derive formulas that relate degrees and radians, and convert between the two.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Circles,G.C.6,"Derive formulas that relate degrees and radians, and convert between the two.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Circles,G.C.6,"Derive formulas that relate degrees and radians, and convert between the two.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Expressing Geometric Properties with Equations,G.GPE.1,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Expressing Geometric Properties with Equations,G.GPE.1,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Expressing Geometric Properties with Equations,G.GPE.1,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Expressing Geometric Properties with Equations,G.GPE.1,Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Expressing Geometric Properties with Equations,(+)G.GPE.2,Derive the equation of a parabola given a focus and directrix.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Expressing Geometric Properties with Equations,(+)G.GPE.2,Derive the equation of a parabola given a focus and directrix.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Expressing Geometric Properties with Equations,(+)G.GPE.2,Derive the equation of a parabola given a focus and directrix.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Expressing Geometric Properties with Equations,(+)G.GPE.2,Derive the equation of a parabola given a focus and directrix.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Expressing Geometric Properties with Equations,(+)G.GPE.3,"Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Expressing Geometric Properties with Equations,(+)G.GPE.3,"Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Expressing Geometric Properties with Equations,(+)G.GPE.3,"Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Expressing Geometric Properties with Equations,(+)G.GPE.3,"Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Expressing Geometric Properties with Equations,G.GPE.4,"Use coordinates to prove simple geometric theorems algebraically and to verify geometric relationships algebraically, including properties of special triangles, quadrilaterals, and circles.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Expressing Geometric Properties with Equations,G.GPE.4,"Use coordinates to prove simple geometric theorems algebraically and to verify geometric relationships algebraically, including properties of special triangles, quadrilaterals, and circles.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Expressing Geometric Properties with Equations,G.GPE.4,"Use coordinates to prove simple geometric theorems algebraically and to verify geometric relationships algebraically, including properties of special triangles, quadrilaterals, and circles.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Expressing Geometric Properties with Equations,G.GPE.4,"Use coordinates to prove simple geometric theorems algebraically and to verify geometric relationships algebraically, including properties of special triangles, quadrilaterals, and circles.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Expressing Geometric Properties with Equations,G.GPE.5,"Justify the slope criteria for parallel and perpendicular lines, and use them to solve geometric problems, e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Expressing Geometric Properties with Equations,G.GPE.5,"Justify the slope criteria for parallel and perpendicular lines, and use them to solve geometric problems, e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Expressing Geometric Properties with Equations,G.GPE.5,"Justify the slope criteria for parallel and perpendicular lines, and use them to solve geometric problems, e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Expressing Geometric Properties with Equations,G.GPE.5,"Justify the slope criteria for parallel and perpendicular lines, and use them to solve geometric problems, e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Expressing Geometric Properties with Equations,G.GPE.6,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Expressing Geometric Properties with Equations,G.GPE.6,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Expressing Geometric Properties with Equations,G.GPE.6,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Expressing Geometric Properties with Equations,G.GPE.6,Find the point on a directed line segment between two given points that partitions the segment in a given ratio.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Expressing Geometric Properties with Equations,G.GPE.7,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Expressing Geometric Properties with Equations,G.GPE.7,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Expressing Geometric Properties with Equations,G.GPE.7,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Expressing Geometric Properties with Equations,G.GPE.7,"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Geometric Measurement & Dimension,G.GMD.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, and volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri's principle, and informal limit arguments.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Geometric Measurement & Dimension,G.GMD.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, and volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri's principle, and informal limit arguments.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,11,Geometric Measurement & Dimension,G.GMD.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, and volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri's principle, and informal limit arguments.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,12,Geometric Measurement & Dimension,G.GMD.1,"Give an informal argument for the formulas for the circumference of a circle, area of a circle, and volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri's principle, and informal limit arguments.",,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,9,Geometric Measurement & Dimension,(+)G.GMD.2,Give an informal argument using Cavalieri's principle for the formulas for the volume of a sphere and other solid figures.,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Math Standard,Math,10,Geometric Measurement & Dimension,(+)G.GMD.2,Give an informal argument using Cavalieri's principle for the formulas for the volume of a sphere and other solid figures.,,,,,,,,,,,,,,,,,,,,,,,,
