Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,
Ohio ELA Standard,English,10,Speaking and Listening Standards,SL.9-10.5,"Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest.",,,,,,
Ohio ELA Standard,English,9,Speaking and Listening Standards,SL.9-10.6,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate.",,,,,,
Ohio ELA Standard,English,10,Speaking and Listening Standards,SL.9-10.6,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate.",,,,,,
Ohio ELA Standard,English,11,Speaking and Listening Standards,SL.11-12.4,"Present information, findings, and supporting evidence, conveying a clear and distinct perspective, such that listeners can follow the line of reasoning, alternative or opposing perspectives are addressed, and the organization, development, substance, and style are appropriate to purpose, audience, and a range of formal and informal tasks.",,,,,,
Ohio ELA Standard,English,12,Speaking and Listening Standards,SL.11-12.4,"Present information, findings, and supporting evidence, conveying a clear and distinct perspective, such that listeners can follow the line of reasoning, alternative or opposing perspectives are addressed, and the organization, development, substance, and style are appropriate to purpose, audience, and a range of formal and informal tasks.",,,,,,
Ohio ELA Standard,English,11,Speaking and Listening Standards,SL.11-12.5,"Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest.",,,,,,
Ohio ELA Standard,English,12,Speaking and Listening Standards,SL.11-12.5,"Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest.",,,,,,
Ohio ELA Standard,English,11,Speaking and Listening Standards,SL.11-12.6,"Adapt speech to a variety of contexts and tasks, demonstrating a command of formal English when indicated or appropriate.",,,,,,
Ohio ELA Standard,English,12,Speaking and Listening Standards,SL.11-12.6,"Adapt speech to a variety of contexts and tasks, demonstrating a command of formal English when indicated or appropriate.",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.1.a,Print many upper- and lowercase letters.,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.1.b,Use frequently occurring nouns and verbs.,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.1.c,"Form regular plural nouns orally by adding/s/ or /es/ (e.g., dog, dogs; wish, wishes).",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.1.d,"Understand and use interrogatives (question words) (e.g., who, what, where, when, why, how).",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.1.e,"Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with).",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.1.f,Produce and expand complete sentences in shared language activities.,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.2.a,Capitalize the first word in a sentence and the pronoun I.,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.2.b,Recognize and name end punctuation.,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.2.c,Write a letter or letters for most consonant and short-vowel phonemes (sounds).,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.2.d,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships.",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1.a,Print all upper- and lowercase letters.,,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1.b,"Use common, proper, and possessive nouns.",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1.c,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; Wehop).",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1.d,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their;anyone, everything).",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1.e,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; today I walk home; tomorrow I will walk home).",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1.f,Use frequently occurring adjectives.,,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1.g,"Use frequently occurring coordinating and subordinating conjunctions (e.g., and, but, or, so, because).",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1.h,"Use determiners (e.g., articles, demonstratives).",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1.i,"Use frequently occurring prepositions (e.g., during, beyond, toward).",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.1.j,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.2.a,Capitalize dates and names of people.,,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.2.b,Use end punctuation for sentences.,,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.2.c,Use commas in dates and to separate single words in a series.,,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.2.d,Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.,,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.2.e,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.1.a,"Use collective nouns (e.g., group).",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.1.b,"Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish).",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.1.c,"Use reflexive pronouns (e.g., myself, ourselves).",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.1.d,"Form and use the past tense of frequently occurring irregular verbs (e.g., sat, hid, told).",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.1.e,"Use adjectives and adverbs, and choose between them depending on what is to be modified.",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.1.f,"Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy).",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.2.a,"Capitalize holidays, product names, and geographic names.",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.2.b,Use commas in greetings and closings of letters.,,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.2.c,Use an apostrophe to form contractions and frequently occurring possessives.,,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.2.d,"Generalize learned spelling patterns when writing words (e.g., cage → badge; boy → boil).",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.2.e,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.",,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.1.a,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.1.b,Form and use regular and irregular plural nouns.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.1.c,"Use abstract nouns (e.g., childhood).",,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.1.d,Form and use regular and irregular verbs.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.1.e,"Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses.",,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.1.f,Ensure subject-verb and pronoun-antecedent agreement.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.1.g,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified.",,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.1.h,Use coordinating and subordinating conjunctions.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.1.i,"Produce simple, compound, and complex sentences.",,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.2.a,Capitalize appropriate words in titles.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.2.b,Use commas in addresses.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.2.c,Use commas and quotation marks in dialogue.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.2.d,Form and use possessives.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.2.e,"Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness).",,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.2.f,"Use spelling patterns and generalizations (e.g., word families, position-based spellings, syllable patterns, ending rules, meaningful word parts) in writing words.",,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.2.g,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.",,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.1.a,"Use relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why).",,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.1.b,"Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses.",,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.1.c,"Use modal auxiliaries (e.g., can, may, must) to convey various conditions.",,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.1.d,"Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag).",,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.1.e,Form and use prepositional phrases.,,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.1.f,"Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.",,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.1.g,"Correctly use frequently confused words (e.g., to, too, two; there, their).",,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.2.a,Use correct capitalization.,,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.2.b,Use commas and quotation marks to mark direct speech and quotations from a text.,,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.2.c,Use a comma before a coordinating conjunction in a compound sentence.,,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.2.d,"Spell grade-appropriate words correctly, consulting references as needed.",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.1.a,"Explain the function of conjunctions, prepositions, and interjections in general and their function in particular sentences.",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.1.b,"Form and use the perfect (e.g., I had walked; I have walked; I will have walked) verb tenses.",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.1.c,"Use verb tense to convey various times, sequences, states, and conditions.",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.1.d,Recognize and correct inappropriate shifts in verb tense.,,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.1.e,"Use correlative conjunctions (e.g., either/or, neither/nor).",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.2.a,Use punctuation to separate items in a series.,,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.2.b,Use a comma to separate an introductory element from the rest of the sentence.,,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.2.c,"Use a comma to set off the words yes and no (e.g., Yes, thank you), to set off a tag question from the rest of the sentence (e.g., It's true, isn't it?), and to indicate direct address (e.g., Is that you, Steve?).",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.2.d,"Use underlining, quotation marks, or italics to indicate titles of works.",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.2.e,"Spell grade-appropriate words correctly, consulting references as needed.",,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.1.a,"Ensure that pronouns are in the proper case (subjective, objective, possessive).",,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.1.b,"Use intensive pronouns (e.g., myself, ourselves).",,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.1.c,Recognize and correct inappropriate shifts in pronoun number and person.,,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.1.d,"Recognize and correct vague pronouns (i.e., ones with unclear or ambiguous antecedents).",,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.1.e,"Recognize variations from standard English in their own and others' writing and speaking, and identify and use strategies to improve expression in conventional language.",,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.2.a,"Use punctuation (commas, parentheses, dashes) to set off nonrestrictive/parenthetical elements.",,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.2.b,Spell correctly.,,,,,,
Ohio ELA Standard,English,7,Language Standards,L.7.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,7,Language Standards,L.7.1.a,Explain the function of phrases and clauses in general and their function in specific sentences.,,,,,,
Ohio ELA Standard,English,7,Language Standards,L.7.1.b,"Choose among simple, compound, complex, and compound-complex sentences to signal differing relationships among ideas.",,,,,,
Ohio ELA Standard,English,7,Language Standards,L.7.1.c,"Place phrases and clauses within a sentence, recognizing and correcting misplaced and dangling modifiers.",,,,,,
Ohio ELA Standard,English,7,Language Standards,L.7.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,7,Language Standards,L.7.2.a,"Use a comma to separate coordinate adjectives (e.g., It was a fascinating, enjoyable movie but not He wore an old[,] green shirt).",,,,,,
Ohio ELA Standard,English,7,Language Standards,L.7.2.b,Spell correctly.,,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.1.a,"Explain the function of verbals (gerunds, participles, infinitives) in general and their function in particular sentences.",,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.1.b,Form and use verbs in the active and passive voice.,,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.1.c,"Form and use verbs in the indicative, imperative, interrogative, conditional, and subjunctive mood.",,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.1.d,Recognize and correct inappropriate shifts in verb voice and mood.,,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.2.a,"Use punctuation (comma, ellipsis, dash) to indicate a pause or break.",,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.2.b,Use an ellipsis to indicate an omission.,,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.2.c,Spell correctly.,,,,,,
Ohio ELA Standard,English,9,Language Standards,L.9-10.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,10,Language Standards,L.9-10.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,9,Language Standards,L.9-10.1.a,Use parallel structure.,,,,,,
Ohio ELA Standard,English,10,Language Standards,L.9-10.1.a,Use parallel structure.,,,,,,
Ohio ELA Standard,English,9,Language Standards,L.9-10.1.b,"Use various types of phrases (noun, verb, adjectival, adverbial, participial, prepositional, absolute) and clauses (independent, dependent; noun, relative, adverbial) to convey specific meanings and add variety and interest to writing or presentations.",,,,,,
Ohio ELA Standard,English,10,Language Standards,L.9-10.1.b,"Use various types of phrases (noun, verb, adjectival, adverbial, participial, prepositional, absolute) and clauses (independent, dependent; noun, relative, adverbial) to convey specific meanings and add variety and interest to writing or presentations.",,,,,,
Ohio ELA Standard,English,9,Language Standards,L.9-10.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,10,Language Standards,L.9-10.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,9,Language Standards,L.9-10.2.a,Use a semicolon (and perhaps a conjunctive adverb) to link two or more closely related independent clauses.,,,,,,
Ohio ELA Standard,English,10,Language Standards,L.9-10.2.a,Use a semicolon (and perhaps a conjunctive adverb) to link two or more closely related independent clauses.,,,,,,
Ohio ELA Standard,English,9,Language Standards,L.9-10.2.b,Use a colon to introduce a list or quotation.,,,,,,
Ohio ELA Standard,English,10,Language Standards,L.9-10.2.b,Use a colon to introduce a list or quotation.,,,,,,
Ohio ELA Standard,English,9,Language Standards,L.9-10.2.c,Spell correctly.,,,,,,
Ohio ELA Standard,English,10,Language Standards,L.9-10.2.c,Spell correctly.,,,,,,
Ohio ELA Standard,English,11,Language Standards,L.11-12.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,12,Language Standards,L.11-12.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,,,,
Ohio ELA Standard,English,11,Language Standards,L.11-12.1.a,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested.",,,,,,
Ohio ELA Standard,English,12,Language Standards,L.11-12.1.a,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested.",,,,,,
Ohio ELA Standard,English,11,Language Standards,L.11-12.1.b,"Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster's Dictionary of English Usage, Garner's Modern American Usage) as needed.",,,,,,
Ohio ELA Standard,English,12,Language Standards,L.11-12.1.b,"Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster's Dictionary of English Usage, Garner's Modern American Usage) as needed.",,,,,,
Ohio ELA Standard,English,11,Language Standards,L.11-12.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,12,Language Standards,L.11-12.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,,,,
Ohio ELA Standard,English,11,Language Standards,L.11-12.2.a,Observe hyphenation conventions.,,,,,,
Ohio ELA Standard,English,12,Language Standards,L.11-12.2.a,Observe hyphenation conventions.,,,,,,
Ohio ELA Standard,English,11,Language Standards,L.11-12.2.b,Spell correctly.,,,,,,
Ohio ELA Standard,English,12,Language Standards,L.11-12.2.b,Spell correctly.,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.3,Begins in grade 2,,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.3,Begins in grade 2,,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.3.a,Recognize formal and informal uses of English.,,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.3.b,Compare formal and informal uses of English.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.3.a,Choose words and phrases for effect.,,,,,,
Ohio ELA Standard,English,3,Language Standards,L.3.3.b,Recognize and observe differences between the conventions of spoken and written standard English.,,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.3.a,Choose words and phrases to convey ideas precisely.,,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.3.b,Choose punctuation for effect.,,,,,,
Ohio ELA Standard,English,4,Language Standards,L.4.3.c,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion).",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.3.a,"Expand, combine, and reduce sentences for meaning, reader/listener interest, and style.",,,,,,
Ohio ELA Standard,English,5,Language Standards,L.5.3.b,"Compare and contrast the varieties of English (e.g., dialects, registers) used in stories, dramas, or poems.",,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.3.a,"Vary sentence patterns for meaning, reader/listener interest, and style.",,,,,,
Ohio ELA Standard,English,6,Language Standards,L.6.3.b,Maintain consistency in style and tone.,,,,,,
Ohio ELA Standard,English,7,Language Standards,L.7.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,,,,
Ohio ELA Standard,English,7,Language Standards,L.7.3.a,Choose language that expresses ideas precisely and concisely.,,,,,,
Ohio ELA Standard,English,7,Language Standards,L.7.3.b,Recognize and eliminate wordiness and redundancy.,,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.3.a,"Use verbs in the active and passive voice (e.g., emphasizing the actor or the action).",,,,,,
Ohio ELA Standard,English,8,Language Standards,L.8.3.b,"Use verbs in the conditional and subjunctive moods to achieve particular effects (e.g., expressing uncertainty or describing a state contrary to fact).",,,,,,
Ohio ELA Standard,English,9,Language Standards,L.9-10.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",,,,,,
Ohio ELA Standard,English,10,Language Standards,L.9-10.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",,,,,,
Ohio ELA Standard,English,9,Language Standards,L.9-10.3.a,"Write work so that it conforms to the guidelines in a style manual (e.g., MLA Handbook, Turabian's Manual for Writers) appropriate for the discipline and writing type.",,,,,,
Ohio ELA Standard,English,10,Language Standards,L.9-10.3.a,"Write work so that it conforms to the guidelines in a style manual (e.g., MLA Handbook, Turabian's Manual for Writers) appropriate for the discipline and writing type.",,,,,,
Ohio ELA Standard,English,9,Language Standards,L.9-10.3.b,Edit work so that it conforms to the guidelines in a style manual appropriate for the discipline and writing type.,,,,,,
Ohio ELA Standard,English,10,Language Standards,L.9-10.3.b,Edit work so that it conforms to the guidelines in a style manual appropriate for the discipline and writing type.,,,,,,
Ohio ELA Standard,English,11,Language Standards,L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",,,,,,
Ohio ELA Standard,English,12,Language Standards,L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",,,,,,
Ohio ELA Standard,English,11,Language Standards,L.11-12.3.a,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed.",,,,,,
Ohio ELA Standard,English,12,Language Standards,L.11-12.3.a,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed.",,,,,,
Ohio ELA Standard,English,11,Language Standards,L.11-12.3.b,Apply an understanding of syntax to the study of complex texts when reading.,,,,,,
Ohio ELA Standard,English,12,Language Standards,L.11-12.3.b,Apply an understanding of syntax to the study of complex texts when reading.,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.4,Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.4.a,"Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck).",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.4.b,"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word.",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.5,"With guidance and support from adults, explore word relationships and nuances in word meanings.",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.5.a,"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent.",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.5.b,Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their antonyms (opposites).,,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.5.c,"Identify real-life connections between words and their use (e.g., note places at school that are colorful).",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.5.d,"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings.",,,,,,
Ohio ELA Standard,English,K,Language Standards,L.K.6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts.",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies.",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.4.a,Use sentence-level context as a clue to the meaning of a word or phrase.,,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.4.b,Use frequently occurring affixes as a clue to the meaning of a word.,,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.4.c,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking).",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.5,"With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings.",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.5.a,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent.",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.5.b,"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes).",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.5.c,"Identify real-life connections between words and their use (e.g., note places at home that are cozy).",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.5.d,"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings.",,,,,,
Ohio ELA Standard,English,1,Language Standards,L.1.6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because).",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies.",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.4.a,Use sentence-level context as a clue to the meaning of a word or phrase.,,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.4.b,"Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell).",,,,,,
Ohio ELA Standard,English,2,Language Standards,L.2.4.c,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional).",,,,,,
